movie,director,m_year,crit_rank,critic,crit_org,crit_cn,link,dir_cn,dir_cn_geocode
Hedwig and the Angry Inch,John Cameron Mitchell,2001,6,Drew McWeeny,HitFix,US,/name/nm0593463/,"El Paso, Texas, USA","[31.7754152, -106.464634]"
Melancholia,Lars von Trier,2011,7,Drew McWeeny,HitFix,US,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Mad Max: Fury Road,George Miller,2015,8,Drew McWeeny,HitFix,US,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,2001,9,Drew McWeeny,HitFix,US,/name/nm0001392/,"Pukerua Bay, North Island, New Zealand",
Grizzly Man,Werner Herzog,2005,10,Drew McWeeny,HitFix,US,/name/nm0001348/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Inherent Vice,Paul Thomas Anderson,2014,1,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Mulholland Drive,David Lynch,2001,2,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Melancholia,Lars von Trier,2011,3,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
There Will Be Blood,Paul Thomas Anderson,2007,4,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Under the Skin,Jonathan Glazer,2013,5,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
Fat Girl,Catherine Breillat,2001,6,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0106924/,"Bressuire, Deux-Sèvres, France","[46.8046169, -0.5089931]"
A Serious Man,Joel and Ethan Coen,2009,7,Kim Morgan,Sight & Sound/Criterion,US,,,"[46.3144754, 11.0480288]"
Battle Royale,Kinji Fukasaku,2000,8,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0297935/,"Mito, Japan","[36.3657792, 140.4713933]"
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,9,Kim Morgan,Sight & Sound/Criterion,US,,,"[46.3144754, 11.0480288]"
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,10,Kim Morgan,Sight & Sound/Criterion,US,/name/nm0001348/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Mulholland Drive,David Lynch,2001,1,Kate Muir,The Times,UK,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
The Tree of Life,Terrence Malick,2011,2,Kate Muir,The Times,UK,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
Night Will Fall,André Singer,2014,3,Kate Muir,The Times,UK,/name/nm0801885/,,"[46.3144754, 11.0480288]"
12 Years a Slave,Steve McQueen,2013,4,Kate Muir,The Times,UK,/name/nm0000537/,"Beech Grove, Indiana, USA","[39.7221906, -86.0894158]"
We Need to Talk About Kevin,Lynne Ramsay,2011,5,Kate Muir,The Times,UK,/name/nm0708903/,"Glasgow, Strathclyde, Scotland, UK","[55.8317061, -4.0333295]"
Boyhood,Richard Linklater,2014,6,Kate Muir,The Times,UK,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Amour,Michael Haneke,2012,7,Kate Muir,The Times,UK,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
The Lives of Others,Florian Henckel von Donnersmarck,2006,8,Kate Muir,The Times,UK,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
Nostalgia for the Light,Patricio Guzmán,2010,9,Kate Muir,The Times,UK,/name/nm0350099/,"Santiago, Chile","[-33.4377756, -70.6504502]"
Red Road,Andrea Arnold,2006,10,Kate Muir,The Times,UK,/name/nm0036349/,"Dartford, Kent, England, UK","[51.4443059, 0.21807]"
Before Midnight,Richard Linklater,2013,1,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Chris Nashawaty,Entertainment Weekly,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Munich,Steven Spielberg,2005,3,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
The Social Network,David Fincher,2010,4,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
The Grand Budapest Hotel,Wes Anderson,2014,5,Chris Nashawaty,Entertainment Weekly,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Sexy Beast,Jonathan Glazer,2000,6,Chris Nashawaty,Entertainment Weekly,US,/name/nm0322242/,"London, England, UK","[51.5073219, -0.1276474]"
The Lobster,Yorgos Lanthimos,2015,7,Chris Nashawaty,Entertainment Weekly,US,/name/nm0487166/,"Athens, Greece","[37.9839412, 23.7283052]"
Inglourious Basterds,Quentin Tarantino,2009,8,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Best in Show,Christopher Guest,2000,9,Chris Nashawaty,Entertainment Weekly,US,/name/nm0001302/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Gladiator,Ridley Scott,2000,10,Chris Nashawaty,Entertainment Weekly,US,/name/nm0000631/,"South Shields, County Durham, England, UK","[54.7665236, -1.7998427]"
Yi Yi: A One and a Two,Edward Yang,2000,1,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
A Separation,Asghar Farhadi,2011,2,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
25th Hour,Spike Lee,2002,3,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,4,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
WALL-E,Andrew Stanton,2008,5,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0004056/,"Boston, Massachusetts, USA","[42.3602534, -71.0582912]"
Phoenix,Christian Petzold,2014,6,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0678857/,"Hilden, North Rhine-Westphalia, Germany","[51.1674417, 6.9307271]"
Selma,Ava DuVernay,2014,7,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm1148550/,"Long Beach, California, USA","[33.7690164, -118.191604]"
Timbuktu,Abderrahmane Sissako,2014,8,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0803066/,"Kiffa, Mauritania","[16.6161559, -11.4002038]"
About Elly,Asghar Farhadi,2009,9,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
I’m Going Home,Manoel de Oliveira,2001,10,Farran Smith Nehme,The New York Post/Film Comment,US,/name/nm0210701/,"Oporto, Portugal","[41.1494512, -8.6107884]"
Inside Llewyn Davis,Joel and Ethan Coen,2013,1,Joe Neumaier,WOR-710AM New York,US,,,"[46.3144754, 11.0480288]"
There Will Be Blood,Paul Thomas Anderson,2007,2,Joe Neumaier,WOR-710AM New York,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Inside Out,Pete Docter,2015,3,Joe Neumaier,WOR-710AM New York,US,/name/nm0230032/,"Bloomington, Minnesota, USA","[44.8322405, -93.3204872]"
Carol,Todd Haynes,2015,4,Joe Neumaier,WOR-710AM New York,US,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
Brooklyn,John Crowley,2015,5,Joe Neumaier,WOR-710AM New York,US,/name/nm1259871/,"Cork, Ireland","[51.897077, -8.4654674]"
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,6,Joe Neumaier,WOR-710AM New York,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
Boyhood,Richard Linklater,2014,7,Joe Neumaier,WOR-710AM New York,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Fruitvale Station,Ryan Coogler,2013,8,Joe Neumaier,WOR-710AM New York,US,/name/nm3363032/,"Oakland, California, USA","[37.8044557, -122.2713563]"
Blue Valentine,Derek Cianfrance,2010,9,Joe Neumaier,WOR-710AM New York,US,/name/nm0161834/,"Lakewood, Colorado, USA","[39.631108499999996, -105.11005818223015]"
Her,Spike Jonze,2013,10,Joe Neumaier,WOR-710AM New York,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
Good Bye Lenin!,Wolfgang Becker,2003,1,Chris Newbould,The National,UAE,/name/nm0065615/,"Hemer, North Rhine-Westphalia, Germany","[51.3854116, 7.7661798]"
Lost in Translation,Sofia Coppola,2003,2,Chris Newbould,The National,UAE,/name/nm0001068/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Spotlight,Tom McCarthy,2015,3,Chris Newbould,The National,UAE,/name/nm0565336/,"New Providence, New Jersey, USA","[40.6984348, -74.4015405]"
Pan's Labyrinth,Guillermo Del Toro,2006,4,Chris Newbould,The National,UAE,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Mad Max: Fury Road,George Miller,2015,5,Chris Newbould,The National,UAE,/name/nm0004306/,"Chinchilla, Queensland, Australia","[-26.7416613, 150.6225161]"
The Baader Meinhof Complex,Uli Edel,2008,6,Chris Newbould,The National,UAE,/name/nm0248942/,"Neuenburg am Rhein, Germany","[47.8155916, 7.5627871]"
Boyhood,Richard Linklater,2014,7,Chris Newbould,The National,UAE,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
No Man's Land,Danis Tanovic,2001,8,Chris Newbould,The National,UAE,/name/nm0849786/,"Zenica, Bosnia and Herzegovina, Yugoslavia",
Che,Steven Soderbergh,2008,9,Chris Newbould,The National,UAE,/name/nm0001752/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Ghost World,Terry Zwigoff,2001,10,Chris Newbould,The National,UAE,/name/nm0959062/,"Appleton, Wisconsin, USA","[44.2613967, -88.4069744]"
"Synecdoche, New York",Charlie Kaufman,2008,1,Amy Nicholson,MTV News,US,/name/nm0442109/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,2,Amy Nicholson,MTV News,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
Django Unchained,Quentin Tarantino,2012,3,Amy Nicholson,MTV News,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
The Grand Budapest Hotel,Wes Anderson,2014,4,Amy Nicholson,MTV News,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Alpha Dog,Nick Cassavetes,2006,5,Amy Nicholson,MTV News,US,/name/nm0001024/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Her,Spike Jonze,2013,6,Amy Nicholson,MTV News,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
Young Adult,Jason Reitman,2011,7,Amy Nicholson,MTV News,US,/name/nm0718646/,"Montreal, Quebec, Canada","[45.5031824, -73.5698065]"
The Dark Knight,Christopher Nolan,2008,8,Amy Nicholson,MTV News,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Tropic Thunder,Ben Stiller,2008,9,Amy Nicholson,MTV News,US,/name/nm0001774/,"New York City, New York, USA","[40.7127281, -74.0060152]"
Children of Men,Alfonso Cuarón,2006,10,Amy Nicholson,MTV News,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Memento,Christopher Nolan,2000,1,Ong Soh Chin,Freelance,Singapore,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Oldboy,Park Chan-wook,2003,2,Ong Soh Chin,Freelance,Singapore,/name/nm0661791/,"Seoul, South Korea","[37.5666791, 126.9782914]"
The Circle,Jafar Panahi,2000,3,Ong Soh Chin,Freelance,Singapore,/name/nm0070159/,"Mianeh, Azarbaijan Province, Iran",
The Lives of Others,Florian Henckel von Donnersmarck,2006,4,Ong Soh Chin,Freelance,Singapore,/name/nm0003697/,"Cologne, North Rhine-Westphalia, Germany","[50.938361, 6.959974]"
Dirty Pretty Things,Stephen Frears,2002,5,Ong Soh Chin,Freelance,Singapore,/name/nm0001241/,"Leicester, Leicestershire, England, UK","[52.6361398, -1.1330789]"
We Need to Talk About Kevin,Lynne Ramsay,2011,6,Ong Soh Chin,Freelance,Singapore,/name/nm0708903/,"Glasgow, Strathclyde, Scotland, UK","[55.8317061, -4.0333295]"
The Imposter,Bart Layton,2012,7,Ong Soh Chin,Freelance,Singapore,/name/nm1717925/,,"[46.3144754, 11.0480288]"
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014,8,Ong Soh Chin,Freelance,Singapore,/name/nm3235877/,"Margate, Kent, England, UK","[51.3878174, 1.3819699]"
Mother,Bong Joon-ho,2009,9,Ong Soh Chin,Freelance,Singapore,/name/nm0094435/,"Daegu, South Korea","[35.8713, 128.6018]"
Bone Tomahawk,S. Craig Zahler,2015,10,Ong Soh Chin,Freelance,Singapore,/name/nm0951975/,"Miami, Florida, USA","[25.7741728, -80.19362]"
Boyhood,Richard Linklater,2014,1,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Melancholia,Lars von Trier,2011,2,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
The Great Beauty,Paolo Sorrentino,2013,3,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0815204/,"Naples, Campania, Italy","[40.8359336, 14.2487826]"
The White Ribbon,Michael Haneke,2009,4,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
A Separation,Asghar Farhadi,2011,5,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm1410815/,"Khomeyni Shahr, Isfahan, Iran","[32.6938201, 51.5254892]"
Winter Sleep,Nuri Bilge Ceylan,2014,6,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
Spirited Away,Hayao Miyazaki,2001,7,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
The Artist,Michel Hazanavicius,2011,8,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0371890/,"Paris, France","[48.8588897, 2.3200410217200766]"
Spring Breakers,Harmony Korine,2012,9,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0005101/,"Bolinas, California, USA","[37.9093702, -122.6863733]"
The Queen,Stephen Frears,2006,10,Susanne Ostwald,Neue Zürcher Zeitung,Switzerland,/name/nm0001241/,"Leicester, Leicestershire, England, UK","[52.6361398, -1.1330789]"
Caché,Michael Haneke,2005,1,Matthew Patches,Thrillist,US,/name/nm0359734/,"Munich, Bavaria, Germany","[48.1371079, 11.5753822]"
Spirited Away,Hayao Miyazaki,2001,2,Matthew Patches,Thrillist,US,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,3,Matthew Patches,Thrillist,US,/name/nm0327273/,"Versailles, Yvelines, France","[48.8035403, 2.1266886]"
The Tree of Life,Terrence Malick,2011,4,Matthew Patches,Thrillist,US,/name/nm0000517/,"Ottawa, Illinois, USA","[41.3516628, -88.845436]"
The Grand Budapest Hotel,Wes Anderson,2014,5,Matthew Patches,Thrillist,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
The Comedy,Rick Alverson,2012,6,Matthew Patches,Thrillist,US,/name/nm3687830/,,"[46.3144754, 11.0480288]"
Zero Dark Thirty,Kathryn Bigelow,2012,7,Matthew Patches,Thrillist,US,/name/nm0000941/,"San Carlos, California, USA","[37.504936, -122.261823]"
No Country For Old Men,Joel and Ethan Coen,2007,8,Matthew Patches,Thrillist,US,,,"[46.3144754, 11.0480288]"
Memories of Murder,Bong Joon-ho,2003,9,Matthew Patches,Thrillist,US,/name/nm0094435/,"Daegu, South Korea","[35.8713, 128.6018]"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,10,Matthew Patches,Thrillist,US,/name/nm0153078/,"Brooklyn, New York City, New York, USA","[40.6526006, -73.9497211]"
There Will Be Blood,Paul Thomas Anderson,2007,1,Steve Persall,Tampa Bay Times,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Pan's Labyrinth,Guillermo Del Toro,2006,2,Steve Persall,Tampa Bay Times,US,/name/nm0868219/,"Guadalajara, Jalisco, Mexico","[20.6720375, -103.338396]"
Children of Men,Alfonso Cuarón,2006,3,Steve Persall,Tampa Bay Times,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Brokeback Mountain,Ang Lee,2005,4,Steve Persall,Tampa Bay Times,US,/name/nm0000487/,"Pingtung, Taiwan","[22.6828017, 120.487928]"
The Dark Knight,Christopher Nolan,2008,5,Steve Persall,Tampa Bay Times,US,/name/nm0634240/,"London, England, UK","[51.5073219, -0.1276474]"
Almost Famous,Cameron Crowe,2000,6,Steve Persall,Tampa Bay Times,US,/name/nm0001081/,"Palm Springs, California, USA","[33.772179449999996, -116.49529769785079]"
A Serious Man,Joel and Ethan Coen,2009,7,Steve Persall,Tampa Bay Times,US,,,"[46.3144754, 11.0480288]"
Kill Bill: Vol. 1,Quentin Tarantino,2003,8,Steve Persall,Tampa Bay Times,US,/name/nm0000233/,"Knoxville, Tennessee, USA","[35.9603948, -83.9210261]"
Donnie Darko,Richard Kelly,2001,9,Steve Persall,Tampa Bay Times,US,/name/nm0446819/,"Newport News, Virginia, USA","[36.9775016, -76.42977]"
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,10,Steve Persall,Tampa Bay Times,US,,,"[46.3144754, 11.0480288]"
There Will Be Blood,Paul Thomas Anderson,2007,1,Michael Phillips,Chicago Tribune,US,/name/nm0000759/,"Studio City, California, USA","[34.1483989, -118.3961877]"
Ratatouille,Brad Bird and Jan Pinkava,2007,2,Michael Phillips,Chicago Tribune,US,,,"[46.3144754, 11.0480288]"
Climates,Nuri Bilge Ceylan,2006,3,Michael Phillips,Chicago Tribune,US,/name/nm0149196/,"Istanbul, Turkey","[41.0096334, 28.9651646]"
Mulholland Drive,David Lynch,2001,4,Michael Phillips,Chicago Tribune,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Y Tu Mamá También,Alfonso Cuarón,2001,5,Michael Phillips,Chicago Tribune,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Her,Spike Jonze,2013,6,Michael Phillips,Chicago Tribune,US,/name/nm0005069/,"Rockville, Maryland, USA","[39.0817985, -77.1516844]"
Boyhood,Richard Linklater,2014,7,Michael Phillips,Chicago Tribune,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Poetry,Lee Chang-dong,2010,8,Michael Phillips,Chicago Tribune,US,/name/nm0496969/,"Daegu, South Korea","[35.8713, 128.6018]"
The Grand Budapest Hotel,Wes Anderson,2014,9,Michael Phillips,Chicago Tribune,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
Zodiac,David Fincher,2007,10,Michael Phillips,Chicago Tribune,US,/name/nm0000399/,"Denver, Colorado, USA","[39.7392364, -104.9848623]"
Yi Yi: A One and a Two,Edward Yang,2000,1,Keith Phipps,Uproxx,US,/name/nm0945981/,"Shanghai, China","[31.2322758, 121.4692071]"
Y Tu Mamá También,Alfonso Cuarón,2001,2,Keith Phipps,Uproxx,US,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico","[19.4239552, -99.1757289]"
Mulholland Drive,David Lynch,2001,3,Keith Phipps,Uproxx,US,/name/nm0000186/,"Missoula, Montana, USA","[46.8701049, -113.995267]"
Waking Life,Richard Linklater,2001,4,Keith Phipps,Uproxx,US,/name/nm0000500/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
In the Mood for Love,Wong Kar-wai,2000,5,Keith Phipps,Uproxx,US,/name/nm0939182/,"Shanghai, China","[31.2322758, 121.4692071]"
Moonrise Kingdom,Wes Anderson,2012,6,Keith Phipps,Uproxx,US,/name/nm0027572/,"Houston, Texas, USA","[29.7589382, -95.3676974]"
25th Hour,Spike Lee,2002,7,Keith Phipps,Uproxx,US,/name/nm0000490/,"Atlanta, Georgia, USA","[33.7489924, -84.3902644]"
Certified Copy,Abbas Kiarostami,2010,8,Keith Phipps,Uproxx,US,/name/nm0452102/,"Tehran, Iran","[35.6892523, 51.3896004]"
AI: Artificial Intelligence,Steven Spielberg,2001,9,Keith Phipps,Uproxx,US,/name/nm0000229/,"Cincinnati, Ohio, USA","[39.1014537, -84.5124602]"
Only Lovers Left Alive,Jim Jarmusch,2013,10,Keith Phipps,Uproxx,US,/name/nm0000464/,"Akron, Ohio, USA","[41.083064, -81.518485]"
Melancholia,Lars von Trier,2011,1,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0001885/,"Copenhagen, Denmark","[55.6867243, 12.5700724]"
Spirited Away,Hayao Miyazaki,2001,2,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0594503/,"Tokyo, Japan","[35.6828387, 139.7594549]"
Beyond the Hills,Cristian Mungiu,2012,3,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0612816/,"Iasi, Romania","[47.1615341, 27.5836142]"
Let the Right One In,Tomas Alfredson,2008,4,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0019247/,"Lidingö, Stockholms län, Sweden","[59.3643845, 18.133142]"
Stories We Tell,Sarah Polley,2012,5,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0001631/,"Toronto, Ontario, Canada","[43.6534817, -79.3839347]"
Carol,Todd Haynes,2015,6,Hannah Pilarczyk,Der Spiegel,Germany,/name/nm0001331/,"Los Angeles, California, USA","[34.0536909, -118.242766]"
